,comment,likes,comment_published_at,video_title,video_published_at,video_url,month-year,lang,comment_sentiment
2593,"Like the canary in the mine I was super-sensitive to diesel fumes in the '40s. I would get dizzy, puke when my parents couldn't smell anything and told me ""It's all in your head"". Then, we would come up on a logging truck going up the mountain, belching out black clouds. The trucking lobby had ""scientific proof"" that they polluted less than gasoline. Now we know, 70 years later that they lied, paid off the regulators, the scientists, and ""hacked' the emission checks. MILLIONS killed, no justice, proving coercive govt. serves itself by serving the biggest lobbyists.",0,2024-04-02 17:12:22-04:00,Tesla Semi electric truck program update revealed by Tesla engineer,2024-04-02 07:45:04-04:00,https://www.youtube.com/watch?v=YVwR5cX5-1Y,April-2024,en,-0.7958783488720655
2645,what about delivery number impacting the results,6,2024-04-01 17:26:54-04:00,"Tesla Stock Analysis | Top Levels and Signals for Tuesday, April 2nd, 2024",2024-04-01 17:12:36-04:00,https://www.youtube.com/watch?v=1SWLhXR8aKM,April-2024,en,-0.24068912118673325
2766,"I am one (non-American) who simply will not buy a Tesla because of Elon.
I could be tempted by a model Y, but not while Musk is involved IN ANY WAY with the company. 
Even if he were to resign, he would still own shares, so the Y is out for the foreseeable future.",0,2024-04-18 02:15:58-04:00,Elon's Reputation is Hurting Tesla - TechNewsDay,2024-04-04 04:23:58-04:00,https://www.youtube.com/watch?v=oOoSE5vH8bk,April-2024,en,-0.7488653752952814
2619,What is the payload capacity? Is it still a secret? It’s almost as if they have something to hide.,6,2024-04-02 10:26:06-04:00,Tesla Semi electric truck program update revealed by Tesla engineer,2024-04-02 07:45:04-04:00,https://www.youtube.com/watch?v=YVwR5cX5-1Y,April-2024,en,-0.5281418832018971
2591,Thanks....good news Sam,3,2024-04-02 19:51:32-04:00,Tesla Semi electric truck program update revealed by Tesla engineer,2024-04-02 07:45:04-04:00,https://www.youtube.com/watch?v=YVwR5cX5-1Y,April-2024,en,0.9702232971321791
2824,"You are suffering from EDS. Elon Derangement Syndrome.
Get a life you two losers. Elon is a billionaire. He did more great things in one day than you two have done in your combined lifetime. You LOSERS.",0,2024-04-15 11:55:50-04:00,Elon's Reputation is Hurting Tesla - TechNewsDay,2024-04-04 04:23:58-04:00,https://www.youtube.com/watch?v=oOoSE5vH8bk,April-2024,en,-0.6310207098722458
2604,LFP would be better for the Semi not just because of cost but durability. Truck drivers are not used to filling up to 80% they really need tough batteries that can be charged to 100% all the time and for many cycles.,0,2024-04-02 13:03:39-04:00,Tesla Semi electric truck program update revealed by Tesla engineer,2024-04-02 07:45:04-04:00,https://www.youtube.com/watch?v=YVwR5cX5-1Y,April-2024,en,0.06213885545730591
2811,"Hey, my Dad bought a. 57 Plymouth with push button transmission. How I learned the phrase ""car is a lemon.""",0,2024-04-15 20:58:59-04:00,Elon's Reputation is Hurting Tesla - TechNewsDay,2024-04-04 04:23:58-04:00,https://www.youtube.com/watch?v=oOoSE5vH8bk,April-2024,en,0.2924214154481888
2812,"5 years ago I was sure that my next car would be a Tesla. Today, there's no way I buy an Elon car. So, yeah, he has absolutely hurt Tesla.",99,2024-04-15 19:43:16-04:00,Elon's Reputation is Hurting Tesla - TechNewsDay,2024-04-04 04:23:58-04:00,https://www.youtube.com/watch?v=oOoSE5vH8bk,April-2024,en,-0.721678052097559
2638,"You’re the best, Cary",1,2024-04-02 08:36:00-04:00,"Tesla Stock Analysis | Top Levels and Signals for Tuesday, April 2nd, 2024",2024-04-01 17:12:36-04:00,https://www.youtube.com/watch?v=1SWLhXR8aKM,April-2024,en,0.9677442377433181
2724,Formula is useess and starts obesity. Mother milk is free,0,2024-04-28 07:12:55-04:00,Elon's Reputation is Hurting Tesla - TechNewsDay,2024-04-04 04:23:58-04:00,https://www.youtube.com/watch?v=oOoSE5vH8bk,April-2024,en,-0.4696700908243656
2719,💙,0,2024-04-29 17:14:35-04:00,Elon's Reputation is Hurting Tesla - TechNewsDay,2024-04-04 04:23:58-04:00,https://www.youtube.com/watch?v=oOoSE5vH8bk,April-2024,unkown,0.361905112862587
2759,Supporting 🎉,0,2024-04-18 23:31:52-04:00,Elon's Reputation is Hurting Tesla - TechNewsDay,2024-04-04 04:23:58-04:00,https://www.youtube.com/watch?v=oOoSE5vH8bk,April-2024,en,0.969933244632557
2754,"To be fair, MrBeast has pulled away from the ultra-fast-paced overstim style of video composition, even urging his peers to do the same and saying ""it doesn't even work"", and his videos have improved greatly.",0,2024-04-19 17:12:10-04:00,Elon's Reputation is Hurting Tesla - TechNewsDay,2024-04-04 04:23:58-04:00,https://www.youtube.com/watch?v=oOoSE5vH8bk,April-2024,en,0.37270211428403854
597,BYD Seal is a turd!,0,2024-04-16 10:39:02-04:00,2024 Tesla Model 3 Highland driving REVIEW,2023-10-27 07:00:09-04:00,https://www.youtube.com/watch?v=AKJwinM__nU,April-2024,en,-0.9164512157440186
2635,Semi don't use 4680 cell. They are still on 2170 cell.,17,2024-04-02 07:50:34-04:00,Tesla Semi electric truck program update revealed by Tesla engineer,2024-04-02 07:45:04-04:00,https://www.youtube.com/watch?v=YVwR5cX5-1Y,April-2024,it,-0.11122362688183784
2614,I think Edison Motors is more interesting.  The Tesla semi is a truck that seems to be trying to do what would be better to do with rail.  You can't beat rail for taking heavy goods a long way over land.  Last mile and vocational trucking is where the battery powered truck makes the most sense.  They are things that are less predicable but shorter range.,2,2024-04-02 11:19:39-04:00,Tesla Semi electric truck program update revealed by Tesla engineer,2024-04-02 07:45:04-04:00,https://www.youtube.com/watch?v=YVwR5cX5-1Y,April-2024,en,0.501109890639782
2810,I always thought that Musk has to pretend to be red so that he can sell electric cars in red states. Is Tesla able to sell EVs in Texas?,0,2024-04-15 21:42:24-04:00,Elon's Reputation is Hurting Tesla - TechNewsDay,2024-04-04 04:23:58-04:00,https://www.youtube.com/watch?v=oOoSE5vH8bk,April-2024,en,-0.029762178659439087
2803,I use X to networking to get a Job in programming lol it doesn't even load for 5 min my internet is top notch old twitter was not this shit.,0,2024-04-16 06:04:01-04:00,Elon's Reputation is Hurting Tesla - TechNewsDay,2024-04-04 04:23:58-04:00,https://www.youtube.com/watch?v=oOoSE5vH8bk,April-2024,en,-0.6384071260690689
2753,Musk us an evil mentally ill Fascist. Musk will aid Satan in his quest to destroy the good in America,0,2024-04-20 05:13:13-04:00,Elon's Reputation is Hurting Tesla - TechNewsDay,2024-04-04 04:23:58-04:00,https://www.youtube.com/watch?v=oOoSE5vH8bk,April-2024,en,-0.9188914084807038
2826,"Musk's reputation decline has nothing to do with competition.
It has more to do with Musk's ego and attempt to take credit for things he did not do. For example, Telsa was not single handedly created by Elon musk (as he claimed.) The company was founded by Martin Eberhard and Marc Tarpenning. Who were also the main engineers of the tesla brand. Both of whome, were driven out of their own company by Elon musk. As for the comoany being uncompetitive. Well, obviously, if you loose the main creators of the brand and most, if not all of the origional designer/enigineers (the most passionate individuals of the team.) Obviously, the innovation comes to a grinding halt. As the company loosed driven individuals and replaces them with people who are there for the paycheck and a goofball, selfserving, egotistic CEO. Who wants to rename every single thing ""X"" (doesn't really help the situation, does it.)",0,2024-04-15 10:00:13-04:00,Elon's Reputation is Hurting Tesla - TechNewsDay,2024-04-04 04:23:58-04:00,https://www.youtube.com/watch?v=oOoSE5vH8bk,April-2024,en,-0.6227067392319441
2585,The reluctance to divulge is owing to ultimately be proven to be a collosal commercial failure but hey what would truckers know?,1,2024-04-03 05:07:13-04:00,Tesla Semi electric truck program update revealed by Tesla engineer,2024-04-02 07:45:04-04:00,https://www.youtube.com/watch?v=YVwR5cX5-1Y,April-2024,en,-0.6925215274095535
2629,Even Nikola is out performing it !,3,2024-04-02 09:03:01-04:00,Tesla Semi electric truck program update revealed by Tesla engineer,2024-04-02 07:45:04-04:00,https://www.youtube.com/watch?v=YVwR5cX5-1Y,April-2024,en,0.3814462125301361
2607,"Ugly truck, overpriiced, no workable  range, it wont sell.",3,2024-04-02 11:59:44-04:00,Tesla Semi electric truck program update revealed by Tesla engineer,2024-04-02 07:45:04-04:00,https://www.youtube.com/watch?v=YVwR5cX5-1Y,April-2024,en,-0.9216669299639761
64,I think you just showed everyone you PIN number  3:34,0,2024-04-11 09:36:44-04:00,Tesla Model Y Review 6 Months Later - A BIG REGRET?!,2023-09-12 09:14:40-04:00,https://www.youtube.com/watch?v=aYmdZWwr7gs,April-2024,en,0.08082159981131554
2769,Liked❤,0,2024-04-17 23:48:08-04:00,Elon's Reputation is Hurting Tesla - TechNewsDay,2024-04-04 04:23:58-04:00,https://www.youtube.com/watch?v=oOoSE5vH8bk,April-2024,et,0.5756909474730492
2765,"Apparently tesla is laying off 2500 people, soooo that should tell ya something 😅",0,2024-04-18 06:34:35-04:00,Elon's Reputation is Hurting Tesla - TechNewsDay,2024-04-04 04:23:58-04:00,https://www.youtube.com/watch?v=oOoSE5vH8bk,April-2024,en,-0.29961248487234116
2574,its all a fraud,0,2024-04-15 17:42:01-04:00,Tesla Semi electric truck program update revealed by Tesla engineer,2024-04-02 07:45:04-04:00,https://www.youtube.com/watch?v=YVwR5cX5-1Y,April-2024,ca,-0.9022229909896851
2819,"Tesla will be bankrupt within 5 years.
Musk will follow. He'll then face many criminal charges.",0,2024-04-15 14:14:37-04:00,Elon's Reputation is Hurting Tesla - TechNewsDay,2024-04-04 04:23:58-04:00,https://www.youtube.com/watch?v=oOoSE5vH8bk,April-2024,en,-0.8939129905775189
2814,Truth Social is now going to issue another 21 million shares diluting itself further. Gee I wonder if the whole thing is a scam or something.,0,2024-04-15 18:40:54-04:00,Elon's Reputation is Hurting Tesla - TechNewsDay,2024-04-04 04:23:58-04:00,https://www.youtube.com/watch?v=oOoSE5vH8bk,April-2024,en,-0.9122600597329438
62,"What do Brit’s consider level 2 charging? You have 220V outlets in your house, you can charge your car every day for 3-4 hours to 80% and you never need to charge anywhere else. How much do you guys drive? In the US I have a 220V outlet in the garage and I use the provided Tesla mobile charger. I don’t normally bring my car home with less than 50% battery on a normal day and it gets plug in every night, charging to 80%. My breaker is only a 32A, but if I put in a 50A, it will charge even faster. Going on a road trip? Charge it to 90% and use the Supercharger Network. Unless you’re an Uber driver, you don’t need to drive 330 miles a day.",14,2024-04-12 16:36:00-04:00,Tesla Model Y Review 6 Months Later - A BIG REGRET?!,2023-09-12 09:14:40-04:00,https://www.youtube.com/watch?v=aYmdZWwr7gs,April-2024,en,0.29589805006980896
1268,Lol at ppl buying musk stuff,0,2024-04-07 11:04:34-04:00,Tesla Cybertruck was a REALLY BAD idea...,2023-11-07 07:11:54-05:00,https://www.youtube.com/watch?v=DnsvsF6HzY0,April-2024,no,-0.3198961317539215
2594,Is it called a semi because it can’t perform like a diesel,0,2024-04-02 15:38:18-04:00,Tesla Semi electric truck program update revealed by Tesla engineer,2024-04-02 07:45:04-04:00,https://www.youtube.com/watch?v=YVwR5cX5-1Y,April-2024,en,-0.6943461298942566
2797,“They are going to buy an F-750” 😂,1,2024-04-16 15:41:51-04:00,Elon's Reputation is Hurting Tesla - TechNewsDay,2024-04-04 04:23:58-04:00,https://www.youtube.com/watch?v=oOoSE5vH8bk,April-2024,en,0.06159275770187378
2575,"Each Battery pack for a model Y is only 1,700 lb.  With packaging, let us call that an even US ton (2,000 lb).   If we assume a 40,000 lb Tesla Semi payload, I believe a trailer should be able to hold 20 batteries.  I would *assume* Tesla optimizes packaging for transport safety and maximizing Semi payload.  So 20 to 27 batteries depending on weight assumptions per Semi (although could a trailer hold 27?)",0,2024-04-11 14:04:48-04:00,Tesla Semi electric truck program update revealed by Tesla engineer,2024-04-02 07:45:04-04:00,https://www.youtube.com/watch?v=YVwR5cX5-1Y,April-2024,en,0.24912157841026783
2792,"Okay, hands up all of you that trust this yoick to fly you to Mars.  Really.   
Anybody?",0,2024-04-16 23:54:51-04:00,Elon's Reputation is Hurting Tesla - TechNewsDay,2024-04-04 04:23:58-04:00,https://www.youtube.com/watch?v=oOoSE5vH8bk,April-2024,en,-0.04141208529472351
2727,This is the dumbest video I have been pushed to by the YT algos. How do I block your channel?,0,2024-04-27 13:15:46-04:00,Elon's Reputation is Hurting Tesla - TechNewsDay,2024-04-04 04:23:58-04:00,https://www.youtube.com/watch?v=oOoSE5vH8bk,April-2024,en,-0.9381800969131291
2720,"Now its funny to hear those who arent fans of Elon, say he is tribal to the right when those on the left wont buy a Tesla just because his political support tends to be right leaning. I am no fan of Tesla at all, but I can say he at least can see reality and isnt blinded by American Marxism, and his endeavor with X, is more of an achievement than his involvement in Tesla. Elon, whether he liked it or not, took Twitter away from the Establishment Marxists and their iron grip on controlling the narrative. Thankfully, Elon isnt playing by those rules.",0,2024-04-29 11:56:03-04:00,Elon's Reputation is Hurting Tesla - TechNewsDay,2024-04-04 04:23:58-04:00,https://www.youtube.com/watch?v=oOoSE5vH8bk,April-2024,en,-0.2298208251595497
2576,Go look at BC Canada. Private group of truckers made their own electric/diesel-powered semis. Fully made.,0,2024-04-09 10:04:03-04:00,Tesla Semi electric truck program update revealed by Tesla engineer,2024-04-02 07:45:04-04:00,https://www.youtube.com/watch?v=YVwR5cX5-1Y,April-2024,en,0.08800170570611954
2838,Pure garbage.Please stop making tesla,0,2024-04-14 21:01:29-04:00,Elon's Reputation is Hurting Tesla - TechNewsDay,2024-04-04 04:23:58-04:00,https://www.youtube.com/watch?v=oOoSE5vH8bk,April-2024,en,-0.9254593588411808
1013,"Are those range values given at 14:27 correct? I am seeing on the Tesla website (in the US), 272mi for RWD, and 341mi for Long Range.",0,2024-04-15 23:36:13-04:00,NEW 2024 Tesla Model 3 HIGHLAND Review: The Best Just Got Better?,2023-10-17 10:10:40-04:00,https://www.youtube.com/watch?v=z_3F98XIIKA,April-2024,en,0.02847868576645851
2601,"Remember, airlines parked thousands of perfectly usable passenger jets because it was more profitable to move to more efficient planes.  Businesses, the ones that survive, can do math.",1,2024-04-02 13:20:11-04:00,Tesla Semi electric truck program update revealed by Tesla engineer,2024-04-02 07:45:04-04:00,https://www.youtube.com/watch?v=YVwR5cX5-1Y,April-2024,en,0.19108594208955765
2626,so whats the reason tesla has not made the semi yet.  is it still battery shortage?,0,2024-04-02 09:26:29-04:00,Tesla Semi electric truck program update revealed by Tesla engineer,2024-04-02 07:45:04-04:00,https://www.youtube.com/watch?v=YVwR5cX5-1Y,April-2024,en,-0.6435758965089917
1278,🗑️🗑️🗑️🗑️,0,2024-04-03 15:16:07-04:00,Tesla Cybertruck was a REALLY BAD idea...,2023-11-07 07:11:54-05:00,https://www.youtube.com/watch?v=DnsvsF6HzY0,April-2024,unkown,-0.09725028276443481
2628,"This seems to be where Tesla is happy to demonstrate what can be done as part of their goal to lead the way to reduced carbon extraction.
Trucking is business and business economics should drive the changeover.
You can cause more than you can do.",3,2024-04-02 09:22:46-04:00,Tesla Semi electric truck program update revealed by Tesla engineer,2024-04-02 07:45:04-04:00,https://www.youtube.com/watch?v=YVwR5cX5-1Y,April-2024,en,0.7775308853015304
1280,"Ummm sorry but other auto makers been around for how many decades? And how old is Tesla? 
There’s your answer age of a company matters because they still have loose ends the need to fix and hold down. Also other autos aren’t doing as well as Tesla in EV manufacturing…",0,2024-04-03 06:22:10-04:00,Tesla Cybertruck was a REALLY BAD idea...,2023-11-07 07:11:54-05:00,https://www.youtube.com/watch?v=DnsvsF6HzY0,April-2024,en,-0.35876285284757614
2740,"Stop using twitter, it’s shit.  Always has been.",0,2024-04-23 05:50:09-04:00,Elon's Reputation is Hurting Tesla - TechNewsDay,2024-04-04 04:23:58-04:00,https://www.youtube.com/watch?v=oOoSE5vH8bk,April-2024,en,-0.940078810788691
2808,just wrap up send me back ok calm down,0,2024-04-16 00:58:22-04:00,Elon's Reputation is Hurting Tesla - TechNewsDay,2024-04-04 04:23:58-04:00,https://www.youtube.com/watch?v=oOoSE5vH8bk,April-2024,en,0.069231316447258
2738,Does it occur to amazon that people might prefer the human touch instead of big brother,0,2024-04-23 11:44:59-04:00,Elon's Reputation is Hurting Tesla - TechNewsDay,2024-04-04 04:23:58-04:00,https://www.youtube.com/watch?v=oOoSE5vH8bk,April-2024,en,-0.16151201725006104
2760,"leave elon musk alone, you woke",0,2024-04-18 23:05:39-04:00,Elon's Reputation is Hurting Tesla - TechNewsDay,2024-04-04 04:23:58-04:00,https://www.youtube.com/watch?v=oOoSE5vH8bk,April-2024,en,-0.6240081004798412
2596,Two weeks and they’ll be selling THOUSANDS!,4,2024-04-02 15:15:35-04:00,Tesla Semi electric truck program update revealed by Tesla engineer,2024-04-02 07:45:04-04:00,https://www.youtube.com/watch?v=YVwR5cX5-1Y,April-2024,en,0.4638662114739418
2613,"To have an adoption of electric Semi, will need for them to be created",0,2024-04-02 11:20:52-04:00,Tesla Semi electric truck program update revealed by Tesla engineer,2024-04-02 07:45:04-04:00,https://www.youtube.com/watch?v=YVwR5cX5-1Y,April-2024,en,0.06881216168403625
2571,"As of 2024, around 100 Semis are burdened with hauling potato-chips!",0,2024-04-25 13:31:10-04:00,Tesla Semi electric truck program update revealed by Tesla engineer,2024-04-02 07:45:04-04:00,https://www.youtube.com/watch?v=YVwR5cX5-1Y,April-2024,en,-0.25728920847177505
1283,"What Elon fails to mention, the resale value! Try selling it a year or so after you bought it. Good luck! You will take a hit financially if you can sell it at all!😢",0,2024-04-01 16:19:05-04:00,Tesla Cybertruck was a REALLY BAD idea...,2023-11-07 07:11:54-05:00,https://www.youtube.com/watch?v=DnsvsF6HzY0,April-2024,en,-0.6199991554021835
2732,I couldn't buy a car from a company fronted by a fascist.,1,2024-04-26 01:41:14-04:00,Elon's Reputation is Hurting Tesla - TechNewsDay,2024-04-04 04:23:58-04:00,https://www.youtube.com/watch?v=oOoSE5vH8bk,April-2024,en,-0.8909912058152258
2599,"$1 per kg hydrogen will dominate all electric transportation, but not to worry, simply toss the megawatt packs and you're back in the game.",0,2024-04-02 14:25:33-04:00,Tesla Semi electric truck program update revealed by Tesla engineer,2024-04-02 07:45:04-04:00,https://www.youtube.com/watch?v=YVwR5cX5-1Y,April-2024,en,0.45907769352197647
2836,I'd probably buy a Tesla if Musk didn't own the company.  At this point buying a tesla is funding terrorism.,0,2024-04-14 22:12:47-04:00,Elon's Reputation is Hurting Tesla - TechNewsDay,2024-04-04 04:23:58-04:00,https://www.youtube.com/watch?v=oOoSE5vH8bk,April-2024,en,-0.7136750556528568
290,https://youtu.be/6gsZgmSaE_w?si=gHSdRTzMng0wslhG,0,2024-04-04 12:50:54-04:00,New Tesla Model 3 2024 review.,2023-09-02 05:33:43-04:00,https://www.youtube.com/watch?v=F8KUdvmW2EQ,April-2024,unkown,-0.09079505503177643
2742,🐶🇱🇹😎💙💙💙💙💙💙💙💙,0,2024-04-22 20:30:22-04:00,Elon's Reputation is Hurting Tesla - TechNewsDay,2024-04-04 04:23:58-04:00,https://www.youtube.com/watch?v=oOoSE5vH8bk,April-2024,unkown,0.6376108024269342
1263,"It's like the Pontiac Aztek and the DeLorean had a baby on steroids.
Not a pretty sight.",39,2024-04-12 18:11:07-04:00,Tesla Cybertruck was a REALLY BAD idea...,2023-11-07 07:11:54-05:00,https://www.youtube.com/watch?v=DnsvsF6HzY0,April-2024,en,-0.6579372175037861
1257,Bit of a hate video.. I'd get one,0,2024-04-16 22:19:25-04:00,Tesla Cybertruck was a REALLY BAD idea...,2023-11-07 07:11:54-05:00,https://www.youtube.com/watch?v=DnsvsF6HzY0,April-2024,en,-0.8230308732017875
2587,🔌🔌2026 is the year for electric semis be it Tesla or other power train providers like Cummins and Geely(Volvo). Tesla will have the competitive edge unless LG Eenrgy comes through with a supply of batteries🔌🔌,0,2024-04-03 01:33:43-04:00,Tesla Semi electric truck program update revealed by Tesla engineer,2024-04-02 07:45:04-04:00,https://www.youtube.com/watch?v=YVwR5cX5-1Y,April-2024,en,0.5787317398935556
1249,"if they can build something that can make crash is no longer a problem a cargo truck crushing a car can hold it's weight no problem, and a price tag of half of every automotive available then it will be a monumental success! Actually the last one is practically doable because if they plan to sell a mass production model that can offset gasoline engine vehicles they should start on lowering the price not doubling the price than an actually working reliable gasoline vehicle. having an e vehicles is like a ticking timebomb of it's extremely expensive unreliability.",0,2024-04-22 07:38:09-04:00,Tesla Cybertruck was a REALLY BAD idea...,2023-11-07 07:11:54-05:00,https://www.youtube.com/watch?v=DnsvsF6HzY0,April-2024,en,0.5661268532276154
61,speak to your car mate,0,2024-04-13 10:21:10-04:00,Tesla Model Y Review 6 Months Later - A BIG REGRET?!,2023-09-12 09:14:40-04:00,https://www.youtube.com/watch?v=aYmdZWwr7gs,April-2024,en,-0.07165494188666344
2764,Tesla driver burned me off at some lights on a busy shopping street in the middle of a uk town. Guess my 2001 mrk4 Golf gti was a threat to him 🤔,0,2024-04-18 09:38:50-04:00,Elon's Reputation is Hurting Tesla - TechNewsDay,2024-04-04 04:23:58-04:00,https://www.youtube.com/watch?v=oOoSE5vH8bk,April-2024,en,-0.8062148308381438
2745,Tesla drivers have been the new BMWs of the road since they came out,0,2024-04-22 00:38:57-04:00,Elon's Reputation is Hurting Tesla - TechNewsDay,2024-04-04 04:23:58-04:00,https://www.youtube.com/watch?v=oOoSE5vH8bk,April-2024,en,0.276749424636364
1262,"I think it's a troll to see what stupid crap elon can get his cult to buy.

I would be so embarrassed to drive this abortion.",0,2024-04-13 02:12:01-04:00,Tesla Cybertruck was a REALLY BAD idea...,2023-11-07 07:11:54-05:00,https://www.youtube.com/watch?v=DnsvsF6HzY0,April-2024,en,-0.8796060318127275
2748,"This channel is so one sided it’s time to add to the ( don’t recommend list ).
As far as major model changes goes. All real manufacturers like Toyota for example have major model changes only every ten years. So five years in-between is fine.",1,2024-04-20 21:00:15-04:00,Elon's Reputation is Hurting Tesla - TechNewsDay,2024-04-04 04:23:58-04:00,https://www.youtube.com/watch?v=oOoSE5vH8bk,April-2024,en,-0.738867798820138
2761,"Agree, Elon should STFU. Twitter is history. It was always a dumb, time wasting idea. Both SpaceX and Tesla are great companies. He needs to focus on those.",0,2024-04-18 21:48:31-04:00,Elon's Reputation is Hurting Tesla - TechNewsDay,2024-04-04 04:23:58-04:00,https://www.youtube.com/watch?v=oOoSE5vH8bk,April-2024,en,-0.5122599229216576
2762,2018 with that tweet about the guy being a ped0 is what first made me hate El0n.,0,2024-04-18 19:57:31-04:00,Elon's Reputation is Hurting Tesla - TechNewsDay,2024-04-04 04:23:58-04:00,https://www.youtube.com/watch?v=oOoSE5vH8bk,April-2024,en,-0.9238080331124365
2572,"Real truck drivers are Just laughing at electric  trucks. They'll  never match a strong , reliable,  diesel.  EVs  are just not economical feasible",1,2024-04-22 20:02:58-04:00,Tesla Semi electric truck program update revealed by Tesla engineer,2024-04-02 07:45:04-04:00,https://www.youtube.com/watch?v=YVwR5cX5-1Y,April-2024,en,-0.7977050226181746
2609,Drop x or tesla will suffer,0,2024-04-02 11:46:45-04:00,Tesla Semi electric truck program update revealed by Tesla engineer,2024-04-02 07:45:04-04:00,https://www.youtube.com/watch?v=YVwR5cX5-1Y,April-2024,en,-0.7071428168565035
2807,Precisely so.  His cars are in his image :-) Ugly,0,2024-04-16 01:22:18-04:00,Elon's Reputation is Hurting Tesla - TechNewsDay,2024-04-04 04:23:58-04:00,https://www.youtube.com/watch?v=oOoSE5vH8bk,April-2024,en,-0.6841197423636913
2731,Cyber truck is pretty cool I just wish they didn’t have problems,0,2024-04-26 09:09:52-04:00,Elon's Reputation is Hurting Tesla - TechNewsDay,2024-04-04 04:23:58-04:00,https://www.youtube.com/watch?v=oOoSE5vH8bk,April-2024,en,0.48428913950920105
2588,"If the energy was produced in the middle of nowhere, then we wired it to cities, it would help. EVERYTHING else is just icing!",0,2024-04-03 01:31:39-04:00,Tesla Semi electric truck program update revealed by Tesla engineer,2024-04-02 07:45:04-04:00,https://www.youtube.com/watch?v=YVwR5cX5-1Y,April-2024,en,-0.07452534139156342
2767,"Musk bought Twitter in some manner to control the public narrative. He knows established media is losing viewers while younger generations are using social/online media for up to date/immediate news sources. 
He bought Twitter to control the news on the platform. 
Musk is a fickle, shallow individual who finds solace in being perceived as a wonderful person making changes for the betterment of society. He can not handle the truth that he's a marketeer, a scammer who only wants money and power.",0,2024-04-18 02:13:42-04:00,Elon's Reputation is Hurting Tesla - TechNewsDay,2024-04-04 04:23:58-04:00,https://www.youtube.com/watch?v=oOoSE5vH8bk,April-2024,en,-0.5796145293861628
2794,....and cue the Muskrat cultists......,0,2024-04-16 19:38:11-04:00,Elon's Reputation is Hurting Tesla - TechNewsDay,2024-04-04 04:23:58-04:00,https://www.youtube.com/watch?v=oOoSE5vH8bk,April-2024,en,-0.31132014095783234
